timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695280993856,61,Get List Users,200,OK,Thread Group 1-15,text,true,,1718,127,6,6,https://reqres.in/api/users?page=1,61,0,0
1695280993457,548,POST Create,201,Created,Thread Group 1-16,text,true,,709,232,7,7,https://reqres.in/api/users,547,0,87
1695280993917,90,Get Single User,200,OK,Thread Group 1-15,text,true,,998,122,7,7,https://reqres.in/api/users/2,90,0,0
1695280993557,485,POST Create,201,Created,Thread Group 1-17,text,true,,711,232,6,6,https://reqres.in/api/users,485,0,89
1695280994005,49,Get List Users,200,OK,Thread Group 1-16,text,true,,1708,127,6,6,https://reqres.in/api/users?page=1,48,0,0
1695280994042,60,Get List Users,200,OK,Thread Group 1-17,text,true,,1724,127,7,7,https://reqres.in/api/users?page=1,60,0,0
1695280993657,507,POST Create,201,Created,Thread Group 1-18,text,true,,711,232,8,8,https://reqres.in/api/users,507,0,90
1695280994054,113,Get Single User,200,OK,Thread Group 1-16,text,true,,994,122,8,8,https://reqres.in/api/users/2,113,0,0
1695280994103,66,Get Single User,200,OK,Thread Group 1-17,text,true,,996,122,7,7,https://reqres.in/api/users/2,66,0,0
1695280994164,55,Get List Users,200,OK,Thread Group 1-18,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,54,0,0
1695280994219,53,Get Single User,200,OK,Thread Group 1-18,text,true,,994,122,7,7,https://reqres.in/api/users/2,53,0,0
1695280993759,520,POST Create,201,Created,Thread Group 1-19,text,true,,715,232,6,6,https://reqres.in/api/users,520,0,101
1695280994279,50,Get List Users,200,OK,Thread Group 1-19,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280994330,51,Get Single User,200,OK,Thread Group 1-19,text,true,,1002,122,7,7,https://reqres.in/api/users/2,51,0,0
1695280993857,560,POST Create,201,Created,Thread Group 1-20,text,true,,709,232,6,6,https://reqres.in/api/users,560,0,154
1695280994416,51,Get List Users,200,OK,Thread Group 1-20,text,true,,1716,127,7,7,https://reqres.in/api/users?page=1,50,0,0
1695280994467,45,Get Single User,200,OK,Thread Group 1-20,text,true,,996,122,7,7,https://reqres.in/api/users/2,45,0,0
1695280993956,577,POST Create,201,Created,Thread Group 1-21,text,true,,717,232,6,6,https://reqres.in/api/users,577,0,127
1695280994532,58,Get List Users,200,OK,Thread Group 1-21,text,true,,1714,127,7,7,https://reqres.in/api/users?page=1,56,0,0
1695280994057,541,POST Create,201,Created,Thread Group 1-22,text,true,,709,232,7,7,https://reqres.in/api/users,541,0,116
1695280994590,48,Get Single User,200,OK,Thread Group 1-21,text,true,,998,122,7,7,https://reqres.in/api/users/2,48,0,0
1695280994158,490,POST Create,201,Created,Thread Group 1-23,text,true,,707,232,6,6,https://reqres.in/api/users,489,0,88
1695280994597,57,Get List Users,200,OK,Thread Group 1-22,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,57,0,0
1695280994647,45,Get List Users,200,OK,Thread Group 1-23,text,true,,1714,127,7,7,https://reqres.in/api/users?page=1,44,0,0
1695280994654,46,Get Single User,200,OK,Thread Group 1-22,text,true,,994,122,7,7,https://reqres.in/api/users/2,46,0,0
1695280994692,49,Get Single User,200,OK,Thread Group 1-23,text,true,,998,122,6,6,https://reqres.in/api/users/2,49,0,0
1695280994258,546,POST Create,201,Created,Thread Group 1-24,text,true,,707,232,6,6,https://reqres.in/api/users,546,0,92
1695280994804,52,Get List Users,200,OK,Thread Group 1-24,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,52,0,0
1695280994357,535,POST Create,201,Created,Thread Group 1-25,text,true,,717,232,7,7,https://reqres.in/api/users,535,0,109
1695280994857,54,Get Single User,200,OK,Thread Group 1-24,text,true,,994,122,7,7,https://reqres.in/api/users/2,54,0,0
1695280994892,50,Get List Users,200,OK,Thread Group 1-25,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280994458,490,POST Create,201,Created,Thread Group 1-26,text,true,,711,232,6,6,https://reqres.in/api/users,490,0,88
1695280994943,55,Get Single User,200,OK,Thread Group 1-25,text,true,,994,122,7,7,https://reqres.in/api/users/2,55,0,0
1695280994948,56,Get List Users,200,OK,Thread Group 1-26,text,true,,1710,127,6,6,https://reqres.in/api/users?page=1,55,0,0
1695280994557,509,POST Create,201,Created,Thread Group 1-27,text,true,,713,232,7,7,https://reqres.in/api/users,509,0,88
1695280995004,67,Get Single User,200,OK,Thread Group 1-26,text,true,,1002,122,7,7,https://reqres.in/api/users/2,67,0,0
1695280995067,52,Get List Users,200,OK,Thread Group 1-27,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,52,0,0
1695280994655,488,POST Create,201,Created,Thread Group 1-28,text,true,,715,232,6,6,https://reqres.in/api/users,487,0,93
1695280995119,55,Get Single User,200,OK,Thread Group 1-27,text,true,,996,122,7,7,https://reqres.in/api/users/2,55,0,0
1695280995143,60,Get List Users,200,OK,Thread Group 1-28,text,true,,1714,127,6,6,https://reqres.in/api/users?page=1,59,0,0
1695280995203,49,Get Single User,200,OK,Thread Group 1-28,text,true,,994,122,6,6,https://reqres.in/api/users/2,49,0,0
1695280994758,518,POST Create,201,Created,Thread Group 1-29,text,true,,715,232,6,6,https://reqres.in/api/users,518,0,108
1695280995276,49,Get List Users,200,OK,Thread Group 1-29,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,48,0,0
1695280994858,503,POST Create,201,Created,Thread Group 1-30,text,true,,713,232,7,7,https://reqres.in/api/users,503,0,98
